utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2014.002686,-0.026500,0.089400,0.959293,-0.012480,0.000068,1278.297240,1370.082762,2014-01-02
2014.005493,-0.024500,0.088600,0.767926,-0.012480,0.000022,1278.299942,1370.085168,2014-01-03
2014.008179,-0.006200,0.089300,0.696996,-0.012480,-0.000024,1278.302541,1370.087507,2014-01-04
2014.010986,-0.001200,0.089900,0.840331,-0.012480,-0.000066,1278.305253,1370.089991,2014-01-05
2014.013672,-0.001300,0.090700,1.024300,-0.012480,-0.000106,1278.307830,1370.092405,2014-01-06
2014.016479,0.000400,0.090100,1.167830,-0.012480,-0.000145,1278.310487,1370.094965,2014-01-07
2014.019165,0.003300,0.091200,1.289040,-0.012480,-0.000178,1278.312978,1370.097452,2014-01-08
2014.021851,-0.000700,0.092400,1.490200,-0.012480,-0.000209,1278.315404,1370.099974,2014-01-09
2014.024658,0.002200,0.092700,1.751300,-0.012480,-0.000235,1278.317854,1370.102647,2014-01-10
2014.027344,0.003400,0.092700,1.961660,-0.012480,-0.000257,1278.320100,1370.105240,2014-01-11
2014.030151,0.003300,0.093300,2.152220,-0.012480,-0.000273,1278.322329,1370.107988,2014-01-12
2014.032837,0.009400,0.092400,2.240560,-0.012480,-0.000284,1278.324331,1370.110653,2014-01-13
2014.035645,0.022500,0.093100,2.373830,-0.012480,-0.000290,1278.326272,1370.113475,2014-01-14
2014.038330,0.023400,0.094000,2.570260,-0.012477,-0.000290,1278.327967,1370.116209,2014-01-15
2014.041016,0.030900,0.094900,2.691620,-0.012462,-0.000290,1278.329489,1370.118977,2014-01-16
2014.043823,0.030600,0.094300,2.787690,-0.012437,-0.000290,1278.330879,1370.121907,2014-01-17
2014.046509,0.032400,0.093800,2.856060,-0.012399,-0.000290,1278.332024,1370.124747,2014-01-18
2014.049316,0.037200,0.092700,2.846090,-0.012353,-0.000290,1278.333046,1370.127758,2014-01-19
2014.052002,0.040200,0.092600,2.935960,-0.012298,-0.000290,1278.333877,1370.130683,2014-01-20
2014.054810,0.048000,0.092400,3.082500,-0.012233,-0.000290,1278.334611,1370.133791,2014-01-21
2014.057495,0.041900,0.093100,3.095270,-0.012163,-0.000290,1278.335205,1370.136814,2014-01-22
2014.060181,0.041000,0.093900,3.189820,-0.012084,-0.000290,1278.335711,1370.139893,2014-01-23
2014.062988,0.042500,0.095800,3.256740,-0.012002,-0.000290,1278.336166,1370.143173,2014-01-24
2014.065674,0.051200,0.097100,3.320390,-0.011912,-0.000290,1278.336549,1370.146373,2014-01-25
2014.068481,0.047000,0.098100,3.433280,-0.011822,-0.000290,1278.336917,1370.149788,2014-01-26
2014.071167,0.049600,0.097100,3.514150,-0.011730,-0.000290,1278.337256,1370.153125,2014-01-27
2014.073975,0.056400,0.096600,3.581540,-0.011631,-0.000290,1278.337617,1370.156691,2014-01-28
2014.076660,0.053700,0.097500,3.594260,-0.011534,-0.000290,1278.337987,1370.160179,2014-01-29
2014.079346,0.053300,0.097900,3.683650,-0.011433,-0.000290,1278.338402,1370.163747,2014-01-30
2014.082153,0.059100,0.098200,3.699670,-0.011337,-0.000290,1278.338902,1370.167565,2014-01-31
2014.084839,0.058300,0.099500,3.648660,-0.011238,-0.000290,1278.339463,1370.171308,2014-02-01
2014.087646,0.054600,0.100400,3.691850,-0.011145,-0.000290,1278.340157,1370.175315,2014-02-02
2014.090332,0.056700,0.100700,3.734660,-0.011055,-0.000290,1278.340943,1370.179245,2014-02-03
2014.093140,0.052300,0.101400,3.763700,-0.010964,-0.000290,1278.341911,1370.183459,2014-02-04
2014.095825,0.053700,0.103500,3.950180,-0.010883,-0.000290,1278.342998,1370.187591,2014-02-05
2014.098511,0.048900,0.104800,4.088650,-0.010803,-0.000290,1278.344260,1370.191830,2014-02-06
2014.101318,0.049200,0.106800,4.185110,-0.010733,-0.000290,1278.345786,1370.196376,2014-02-07
2014.104004,0.046400,0.108700,4.236900,-0.010667,-0.000290,1278.347464,1370.200840,2014-02-08
2014.106812,0.038200,0.109000,4.324130,-0.010612,-0.000290,1278.349466,1370.205631,2014-02-09
2014.109497,0.040400,0.109700,4.316840,-0.010565,-0.000290,1278.351636,1370.210334,2014-02-10
2014.112305,0.041600,0.110000,4.332880,-0.010526,-0.000290,1278.354194,1370.215383,2014-02-11
2014.114990,0.045300,0.110300,4.341290,-0.010500,-0.000290,1278.356934,1370.220341,2014-02-12
2014.117676,0.043600,0.112000,4.433220,-0.010484,-0.000290,1278.359982,1370.225431,2014-02-13
2014.120483,0.042200,0.113600,4.528860,-0.010480,-0.000290,1278.363515,1370.230893,2014-02-14
2014.123169,0.040600,0.114700,4.633560,-0.010482,-0.000290,1278.367248,1370.236261,2014-02-15
2014.125977,0.045300,0.113700,4.682470,-0.010487,-0.000290,1278.371539,1370.242022,2014-02-16
2014.128662,0.044600,0.112500,4.641480,-0.010493,-0.000290,1278.376014,1370.247672,2014-02-17
2014.131470,0.044600,0.112800,4.630640,-0.010503,-0.000290,1278.381057,1370.253714,2014-02-18
2014.134155,0.046700,0.113400,4.661870,-0.010514,-0.000290,1278.386200,1370.259602,2014-02-19
2014.136841,0.048300,0.113700,4.712870,-0.010528,-0.000290,1278.391631,1370.265588,2014-02-20
2014.139648,0.036300,0.114200,4.780140,-0.010544,-0.000290,1278.397586,1370.271931,2014-02-21
2014.142334,0.038300,0.115500,4.820220,-0.010563,-0.000290,1278.403523,1370.278068,2014-02-22
2014.145142,0.037900,0.115800,4.901750,-0.010583,-0.000290,1278.409951,1370.284539,2014-02-23
2014.147827,0.032700,0.115500,5.042020,-0.010606,-0.000290,1278.416283,1370.290765,2014-02-24
2014.150635,0.030800,0.118300,5.112960,-0.010631,-0.000290,1278.423069,1370.297302,2014-02-25
2014.153320,0.034900,0.120200,5.107450,-0.010658,-0.000290,1278.429689,1370.303561,2014-02-26
2014.156006,0.029400,0.121800,5.142440,-0.010688,-0.000290,1278.436412,1370.309816,2014-02-27
2014.158813,0.015900,0.122500,5.227100,-0.010719,-0.000290,1278.443518,1370.316333,2014-02-28
2014.161499,0.010600,0.122200,5.237210,-0.010753,-0.000290,1278.450367,1370.322533,2014-03-01
2014.164307,0.005800,0.123400,5.205370,-0.010787,-0.000290,1278.457551,1370.328963,2014-03-02
2014.166992,0.002100,0.125400,5.216630,-0.010824,-0.000290,1278.464414,1370.335047,2014-03-03
2014.169800,0.004100,0.127300,5.238720,-0.010864,-0.000290,1278.471559,1370.341326,2014-03-04
2014.172485,0.002300,0.131700,5.362990,-0.010904,-0.000290,1278.478331,1370.347237,2014-03-05
2014.175171,-0.002800,0.136200,5.526610,-0.010948,-0.000290,1278.485021,1370.353043,2014-03-06
2014.177979,-0.006700,0.140900,5.659000,-0.010992,-0.000290,1278.491897,1370.358984,2014-03-07
2014.180664,-0.013200,0.146200,5.822790,-0.011039,-0.000290,1278.498331,1370.364526,2014-03-08
